transactionDate,paymentAmount,status
01/31/2022,265.42,Received
12/22/2021,227.65,Received
11/29/2021,71.37,Received
10/18/2021,60.69,Received
09/21/2021,44.32,Received
06/28/2021,216.50,Received
06/09/2021,126.71,Received
04/20/2021,285.38,Received
03/26/2021,390.25,Received
02/26/2021,404.48,Received
01/29/2021,436.64,Received
12/29/2020,234.20,Received
11/30/2020,169.00,Received
10/28/2020,88.66,Received
09/28/2020,63.18,Received
08/28/2020,74.42,Received
07/29/2020,72.43,Received
06/26/2020,101.62,Received
05/28/2020,164.23,Received
04/28/2020,196.91,Received
03/27/2020,320.91,Received
02/28/2020,369.53,Received
