transactionDate,transactionAmount,transactionStatus
12/20/2017,141.06,Received
01/24/2017,458.16,Received
02/22/2017,395.97,Received
03/22/2017,244.78,Received
04/24/2017,$274.83,Received
05/22/2017,113.99,Received
06/22/2017,108.65,Received
07/25/2017,68.13,Received
08/22/2017,59.70,Received
09/25/2017,62.70,Received
10/23/2017,$89.78,Received
11/22/2017,108.70,Received
12/26/2018,266.85,Received
01/23/2018,$354.37,Received
02/22/2018,451.02,Received
03/26/2018,277.19,Received
04/24/2018,341.60,Received
05/23/2018,$168.66,Received
06/26/2018,76.33,Received
07/26/2018,67.66,Received
10/01/2018,100.86,Received
10/29/2018,$68.87,Received
11/28/2018,$131.88,Received
12/28/2019,305.93,Received
01/29/2019,360.03,Received
02/28/2019,494.29,Received
03/28/2019,$338.61,Received
04/26/2019,281.69,Received
05/28/2019,113.55,Received
06/28/2019,90.14,Received
07/29/2019,68.27,Received
08/28/2019,71.28,Received
09/30/2019,72.50,Received
10/28/2019,64.89,Received
12/02/2019,147.96,Received
